"DateTime";"ws_forecast (avg) (california_iso)";"demand_forecast (avg) (california_iso)";"real_time_pricing (avg) (miso)";"day_ahead_pricing (avg) (miso)"
"2022-10-03 00:00:00";13;2914.6;25.53;35.57
"2022-10-03 01:00:00";12.667;2823.1;23.17;31.08
"2022-10-03 02:00:00";13;2770.067;20.91;29.64
"2022-10-03 03:00:00";12.667;2766.4;21.11;28.97
"2022-10-03 04:00:00";12;2853.8;23.91;30.15
"2022-10-03 05:00:00";10.667;3039.267;25.19;36.79
"2022-10-03 06:00:00";18.333;3249.7;30.87;45.7
"2022-10-03 07:00:00";777;3373.033;41.35;52.89
"2022-10-03 08:00:00";2532.333;3463.767;38.54;47.74
"2022-10-03 09:00:00";3321.667;3514.8;38.54;46.78
"2022-10-03 10:00:00";3584.333;3542.367;44.62;49.75
"2022-10-03 11:00:00";3622;3601.367;48.75;52.14
"2022-10-03 12:00:00";3543;3690.933;45.53;50.79
"2022-10-03 13:00:00";3462;3811.7;52.95;53.17
"2022-10-03 14:00:00";3357.333;3940.167;190.32;54.21
"2022-10-03 15:00:00";3009;4088.4;42.05;55.69
"2022-10-03 16:00:00";2476.667;4176.033;51.25;59.59
"2022-10-03 17:00:00";1135.667;4214.433;48.37;60.84
"2022-10-03 18:00:00";67.667;4175.3;60.62;60.96
"2022-10-03 19:00:00";-11;4079.2;118.09;65.1
"2022-10-03 20:00:00";-10;3894.033;50.53;55.96
"2022-10-03 21:00:00";-9.333;3664.1;40.49;49.09
"2022-10-03 22:00:00";-9.333;3397.067;45.33;44.34
"2022-10-03 23:00:00";-9.333;3169.233;35.55;42.15
"2022-10-04 00:00:00";;;32.02;40.52
