"DateTime";"ws_forecast (avg) (california_iso)";"demand_forecast (avg) (california_iso)";"real_time_pricing (avg) (miso)";"day_ahead_pricing (avg) (miso)"
"2022-03-03 00:00:00";-0,333;2864,857;23,86;34,08
"2022-03-03 01:00:00";0;2797;22,54;36,71
"2022-03-03 02:00:00";0;2771,821;23,3;34,18
"2022-03-03 03:00:00";-0,333;2800,143;24,74;33,2
"2022-03-03 04:00:00";-0,333;2921,893;25,18;33,45
"2022-03-03 05:00:00";-1;3139,214;25,43;33,82
"2022-03-03 06:00:00";170;3351,036;26,23;38,15
"2022-03-03 07:00:00";1408,667;3411,107;34,92;46,76
"2022-03-03 08:00:00";2748;3391,893;35,65;52,77
"2022-03-03 09:00:00";2925,333;3324,571;36,56;40,87
"2022-03-03 10:00:00";2998,667;3285,393;35,38;36,74
"2022-03-03 11:00:00";2789,333;3232,464;35,01;35,25
"2022-03-03 12:00:00";3068,333;3213,321;33,26;33,43
"2022-03-03 13:00:00";2684,333;3201,821;29,79;32,13
"2022-03-03 14:00:00";2657,333;3235,929;36,18;31
"2022-03-03 15:00:00";2324,333;3314,75;32,83;30,16
"2022-03-03 16:00:00";1249,667;3449,857;32,59;29,04
"2022-03-03 17:00:00";137;3621,679;32,76;29,67
"2022-03-03 18:00:00";13;3712,357;35,84;30,82
"2022-03-03 19:00:00";13,667;3650,036;38,21;34,21
"2022-03-03 20:00:00";13;3539,143;41,12;35,76
"2022-03-03 21:00:00";14;3375,071;51,34;31,13
"2022-03-03 22:00:00";14;3172,857;42,21;30,59
"2022-03-03 23:00:00";14,333;3006;37,37;30,01
"2022-03-04 00:00:00";;;34,22;29,55
