"DateTime";"demand_forecast (avg) (california_iso)";"ws_forecast (avg) (california_iso)";"real_time_pricing (avg) (miso)";"day_ahead_pricing (avg) (miso)"
"2022-06-03 00:00:00";3138,067;-2,667;62,39;54,86
"2022-06-03 01:00:00";3008,367;-2,667;63,57;51,49
"2022-06-03 02:00:00";2927,5;-2,333;57,99;47,03
"2022-06-03 03:00:00";2891,467;-2,667;50,56;42,86
"2022-06-03 04:00:00";2923,733;-3,333;47,08;42,19
"2022-06-03 05:00:00";3042,6;17,667;46,5;41,22
"2022-06-03 06:00:00";3227,333;753,333;52,36;42,47
"2022-06-03 07:00:00";3402,2;2444;48,67;42,77
"2022-06-03 08:00:00";3521,067;3290,333;53,71;46,44
"2022-06-03 09:00:00";3561,633;3594,667;55,25;52,76
"2022-06-03 10:00:00";3592,367;3894,667;65,8;55,95
"2022-06-03 11:00:00";3623,567;4038;73,74;58,74
"2022-06-03 12:00:00";3675,9;3906;69,65;60,22
"2022-06-03 13:00:00";3785,333;3958,667;89,71;63,86
"2022-06-03 14:00:00";3866,667;3959,333;87,38;65,27
"2022-06-03 15:00:00";3942,5;3739;146,22;68,1
"2022-06-03 16:00:00";3997,4;3440,333;108,1;72,56
"2022-06-03 17:00:00";4012,333;2961,333;101,55;76,08
"2022-06-03 18:00:00";3970,133;1456;86,74;76,73
"2022-06-03 19:00:00";3909,867;233;83,45;73,19
"2022-06-03 20:00:00";3863,7;-4;72,43;68,9
"2022-06-03 21:00:00";3731,533;-3,667;68,16;66,39
"2022-06-03 22:00:00";3504,467;-2,333;65,2;59,99
"2022-06-03 23:00:00";3289,033;-2;59,74;53,12
"2022-06-04 00:00:00";;;62,47;52,11
