"DateTime";"day_ahead_pricing (avg) (miso)";"real_time_pricing (avg) (miso)";"demand_forecast (avg) (california_iso)";"ws_forecast (avg) (california_iso)"
"2022-12-02 00:00:00";26,83;43,42;3317,6;-15,333
"2022-12-02 01:00:00";27,59;59,55;3276,933;-15,333
"2022-12-02 02:00:00";24,02;51,27;3267;-15,333
"2022-12-02 03:00:00";23,15;45,62;3295,833;-15,333
"2022-12-02 04:00:00";22,88;40,74;3410,533;-15,667
"2022-12-02 05:00:00";22,35;39,19;3625,9;-15,667
"2022-12-02 06:00:00";25,07;40,91;3874,2;5,667
"2022-12-02 07:00:00";28,23;48,14;3988,4;623,333
"2022-12-02 08:00:00";34,23;53,68;3992,033;1918,667
"2022-12-02 09:00:00";35,77;49,05;3907,4;2430,333
"2022-12-02 10:00:00";38,18;45,91;3794,633;2456
"2022-12-02 11:00:00";40,1;49,76;3703,667;2160,333
"2022-12-02 12:00:00";41,73;45,76;3685,933;1867,333
"2022-12-02 13:00:00";39,52;39,14;3676,533;1456
"2022-12-02 14:00:00";39;39,83;3695,733;880
"2022-12-02 15:00:00";40,27;40,71;3811,433;386
"2022-12-02 16:00:00";40,64;39,56;3990,4;14
"2022-12-02 17:00:00";45,41;48;4080,233;-16
"2022-12-02 18:00:00";58,51;45,53;4020,233;-15,333
"2022-12-02 19:00:00";48,76;39,94;3946,5;-15
"2022-12-02 20:00:00";43,79;39,62;3856,367;-15,333
"2022-12-02 21:00:00";41,38;37,52;3726,767;-15,333
"2022-12-02 22:00:00";40;32,06;3545,367;-15,667
"2022-12-02 23:00:00";38,3;33,97;3374,3;-15,333
"2022-12-03 00:00:00";36,02;27,86
